ID,Address,Status,Listing Price,Square Ft,Year Built,Beds,Baths,Days on Site,Latitude,Longitude,URL,House Image,Google Map Image
11,6135 Fairfield Road Unit 33,Pending,114900,1046,1984,2,2,111,39.50762,-84.75664,https://www.xome.com/homes-for-sale/6135-Fairfield-Road-Unit-33-Oxford-OH-45056-387538530,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1790364.jpg?cd=63843685140,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.320032255233!2d-84.75959082562228!3d39.50726611049223!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3c102a03d1%3A0x79cf134e765f390c!2s6135%20Fairfield%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712856031599!5m2!1sen!2sus
12,6192 Vereker Drive,Closed,262000,1188,1959,3,2,114,39.50914,-84.75867,https://www.xome.com/homes-for-sale/6192-Vereker-Drive-Oxford-OH-45056-387533427,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1790199.jpg?cd=63836116440,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6124.457505832449!2d-84.760351779159!3d39.51021248072052!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d39414ce85d%3A0x27bdd1df2ae3bb6f!2s6192%20Vereker%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712856120530!5m2!1sen!2sus
13,6038 Booth Road,Active,484900,3413,1992,5,4,115,39.47851,-84.71366,https://www.xome.com/homes-for-sale/Booth-Road-Oxford-Twp-OH-45056-387538235,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1790145.jpg?cd=63847736100,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12316.087411928846!2d-84.75581528888742!3d39.49142114805648!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403ce2c8f9dcbf%3A0x2d673891c1d08f0e!2s6038%20Booth%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712856559228!5m2!1sen!2sus
14,5577 Garver Elliott Road,Closed,175000,1413,1984,3,2,115,39.46372,-84.73524,https://www.xome.com/homes-for-sale/5577-Garver-Elliott-Road-Oxford-OH-45056-387538089,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1789915.jpg?cd=63840245040,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3080.248846362059!2d-84.73782452562514!3d39.46370661309403!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403c89199866d1%3A0xd17a528d0995f4e7!2s5577%20Garver%20Elliot%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712856661043!5m2!1sen!2sus
15,26 Woodruff Court,Closed,375000,1208,1944,4,2,115,39.51451,-84.74122,https://www.xome.com/homes-for-sale/26-Woodruff-Court-Oxford-OH-45056-387536476,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1789667.jpg?cd=63840235020,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6155.999661896905!2d-84.74378242562176!3d39.51449351006033!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d728fb7d5f5%3A0x237df71645cc6ac2!2s26%20Woodruff%20Ct%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712856852039!5m2!1sen!2sus
16,113 N Elm Street,Active,787000,2064,1904,8,3,127,39.51219,-84.7469,https://www.xome.com/homes-for-sale/113-N-Elm-Street-Oxford-OH-45056-387534692,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1789238.jpg?cd=63846963600,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6156.201786426118!2d-84.74949482562192!3d39.512212510196726!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d1350c9281d%3A0x45f5811f5af34830!2s113%20N%20Elm%20St%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857169043!5m2!1sen!2sus
17,116 Country Club Drive,Closed,239900,2104,1973,4,3,131,39.51631,-84.76596,https://www.xome.com/homes-for-sale/116-Country-Club-Drive-Oxford-OH-45056-387535444,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/addl_picts/0/0/1788547-2.jpg?cd=63842515260,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3077.919717582879!2d-84.76858602562169!3d39.516301609952265!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d490709b85b%3A0x927af430293a3202!2s116%20Country%20Club%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857276754!5m2!1sen!2sus
18,1218 Tollgate Drive,Closed,249000,1722,1968,3,2,138,39.50702,-84.76279,https://www.xome.com/homes-for-sale/1218-Tollgate-Drive-Oxford-OH-45056-387537856,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1787942.jpg?cd=63842383980,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.3290606602613!2d-84.7653438256223!3d39.50706231050449!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3a75321ef1%3A0xdae4bd0152cf413b!2s1218%20Tollgate%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857333333!5m2!1sen!2sus
19,102 Stone Creek Drive,Pending,625000,3976,1995,4,5,139,39.51301,-84.76824,https://www.xome.com/homes-for-sale/102-Stone-Creek-Drive-Oxford-OH-45056-385588434,https://ap.rdcpix.com/8215b0289cdada11f97078e624cf5c79l-m2361770142od-w1024_h768_x2.webp?w=1920&q=75,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.068205139741!2d-84.768316!3d39.5129503!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d35e31e6e35%3A0x7f4fa5fde3d34848!2s102%20Stone%20Creek%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857466239!5m2!1sen!2sus
20,3856 Kehr Road,Active,550000,1519,1993,3,2,142,39.48486,-84.74616,https://www.xome.com/homes-for-sale/3856-Kehr-Road-Oxford-OH-45056-385536851,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1787608.jpg?cd=63844134660,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3079.3138088822893!2d-84.74731482562372!3d39.48482811183278!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403ce457a3478d%3A0xe73f1b1d46108e44!2s3856%20Kehr%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857691468!5m2!1sen!2sus
21,317 W Chestnut Street,Closed,265000,1430,1956,3,3,153,39.5006,-84.74252,https://www.xome.com/homes-for-sale/Chestnut-Street-Oxford-OH-45056-386639919,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1786274.jpg?cd=63841829760,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6157.248788644324!2d-84.7486335!3d39.5003952!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d19a263d7b9%3A0xf2e930239fca43ba!2s317%20W%20Chestnut%20St%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857995971!5m2!1sen!2sus
22,6550 Brookville Road,Closed,315000,2269,2005,4,3,156,39.50054,-84.75963,https://www.xome.com/homes-for-sale/Brookville-Road-Oxford-OH-45056-387532827,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1786182.jpg?cd=63842542620,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6587701080166!2d-84.77237962562278!3d39.49961911094923!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2c4206051f%3A0x7c32e44274d7d493!2s6550%20Brookville%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712858235991!5m2!1sen!2sus
23,10 Heather Ridge Court,Closed,369500,3293,1992,3,3,180,39.50071,-84.76648,https://www.xome.com/homes-for-sale/Heather-Ridge-Court-Oxford-OH-45056-387538893,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783596.jpg?cd=63842534040,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6129969693447!2d-84.76936142562273!3d39.500652510887406!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2ef5251b37%3A0x6e18fe058f2bb12f!2s10%20Heather%20Ridge%20Ct%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712858320196!5m2!1sen!2sus
24,6043 Vereker Drive,Closed,234900,1406,1987,3,2,181,39.50887,-84.75296,https://www.xome.com/homes-for-sale/Vereker-Drive-Oxford-OH-45056-387538638,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783427.jpg?cd=63842492880,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6156.517989430133!2d-84.7550183!3d39.508643899999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3e62c43611%3A0x6b63bb06f18f21c6!2s6043%20Vereker%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712858560393!5m2!1sen!2sus
25,6328 Main Street,Closed,39000,1200,1930,3,1,181,39.48829,-84.65376,https://www.xome.com/homes-for-sale/Main-Street-Reily-Twp-OH-45056-387531092,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783529.jpg?cd=63833293260,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3081.566294034536!2d-84.76753622562713!3d39.43393081487121!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403b48fa25c945%3A0x90c5fad4c87ab7fb!2s6328%20Main%20St%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712867178793!5m2!1sen!2sus
26,735 High Meadow Lane,Closed,390000,2558,1991,3,3,184,39.50073,-84.76517,https://www.xome.com/homes-for-sale/735-High-Meadow-Lane-Oxford-OH-45056-387531373,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1782604.jpg?cd=63835846860,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6072387137647!2d-84.7677707256227!3d39.50078251087969!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2faa21412f%3A0x3046f1af608ddb29!2s735%20High%20Meadow%20Ln%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712867422674!5m2!1sen!2sus
27,426 Chestnut Street,Closed,255000,1305,1966,3,3,184,39.5006,-84.74252,https://www.xome.com/homes-for-sale/Chestnut-Street-Oxford-OH-45056-387531241,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783239.jpg?cd=63842542620,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6015468840196!2d-84.75361562562266!3d39.50091101087205!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d18424864c3%3A0xa19fdf1f55fa5e5b!2s426%20W%20Chestnut%20St%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712867635905!5m2!1sen!2sus
28,6460 Imhoff Road,Closed,789900,2317,2006,3,3,185,39.47161,-84.76916,https://www.xome.com/homes-for-sale/Imhoff-Road-Reily-Twp-OH-45056-387536866,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783047.jpg?cd=63843665640,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3079.791462284226!2d-84.77111532562441!3d39.4740396124771!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403cca2389058d%3A0xfae6b080b601cf9d!2s6460%20Imhoff%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712867942591!5m2!1sen!2sus
29,14 Quail Ridge Drive,Closed,300000,--,1984,4,3,188,39.50043,-84.76386,https://www.xome.com/homes-for-sale/14-Quail-Ridge-Drive-Oxford-OH-45056-387531423,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1782701.jpg?cd=63840512940,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6231890428594!2d-84.76648592562269!3d39.50042241090128!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2f742be0b9%3A0x2f242ced52f595b8!2s14%20Quail%20Ridge%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712868591233!5m2!1sen!2sus
30,430 Bouden Lane,Closed,295000,--,1948,4,2,192,39.51616,-84.73701,https://www.xome.com/homes-for-sale/430-Bouden-Lane-Oxford-OH-45056-387531098,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1781853.jpg?cd=63840085980,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3077.9261069146037!2d-84.73957932562166!3d39.51615740996089!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d738b365ab7%3A0x6df96f35d841a769!2s430%20Bouden%20Ln%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712868685212!5m2!1sen!2sus
31,825 Dufour Lane,Closed,389900,2534,2016,4,3,193,39.5228,-84.75447,https://www.xome.com/homes-for-sale/Dufour-Lane-Oxford-OH-45056-387533674,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1781998.jpg?cd=63841829760,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6155.401348015194!2d-84.7576544256213!3d39.52124490965687!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d43020b058d%3A0x3a8fecc47da2dc8f!2s825%20Dufour%20Ln%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712869841332!5m2!1sen!2sus
32,626 Honor Lane,Closed,384900,2437,2005,4,3,194,39.52212,-84.75291,https://www.xome.com/homes-for-sale/Honor-Lane-Oxford-OH-45056-387531640,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1781745.jpg?cd=63841829760,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6155.532754134149!2d-84.7526726!3d39.519762199999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d4274213c1f%3A0x544550a4dfd57b18!2s626%20Honor%20Ln%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712931844807!5m2!1sen!2sus
33,6334 Fairfield Road,Closed,695000,3130,1963,4,5,195,39.50748,-84.74966,https://www.xome.com/homes-for-sale/Fairfield-Road-Oxford-OH-45056-387531532,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1781502.jpg?cd=63842190060,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.261710408082!2d-84.7644005!3d39.5085826!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3735a5bc57%3A0xda0f310929505d73!2s6334%20Fairfield%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712932013727!5m2!1sen!2sus
34,7798 Dunwoody Road,Closed,589900,--,1999,3,4,198,39.40665,-84.80738,https://www.xome.com/homes-for-sale/7798-Dunwoody-Road-Oxford-OH-45056-387536547,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1780990.jpg?cd=63840203220,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3082.7751963546707!2d-84.8073754!3d39.4065917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x884025047dc5fdf9%3A0x24c8a3fd49fbac0a!2s7798%20Dunwoody%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712932154678!5m2!1sen!2sus
